ObjectID	URLs	Latitude	Longitude	Direction	Comment
5	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/GI_Comments/FeatureServer/0/5/attachments/4?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYcgyIMux4F2iN9P_Hrgzegs_QFQ-m8Cw89S18T8guxUAlZi2cqLi4fLdgsks82yZ_EnkBs7onangEy5d9jwykBD8B_iH7qRstF46fV-AvlHlzueWQBanhan2Y1J6rs-zgh5bkRl7zCHdoqPdZAdNI_dWjkQi8deveCLy7tYPO-jeJXrqSgDhGOsW3FsJ-_Grs4PWZ7bOJ5B08DUWT5TdHfk.	52.7905	-8.23533666666667	250.6	Zinc Furnace
52	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/GI_Comments/FeatureServer/0/52/attachments/50?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYcgyIMux4F2iN9P_Hrgzegs_QFQ-m8Cw89S18T8guxUAlZi2cqLi4fLdgsks82yZ_EnkBs7onangEy5d9jwykBD8B_iH7qRstF46fV-AvlHlzueWQBanhan2Y1J6rs-zgh5bkRl7zCHdoqPdZAdNI_dWjkQi8deveCLy7tYPO-jeJXrqSgDhGOsW3FsJ-_Grs4PWZ7bOJ5B08DUWT5TdHfk.	52.7930466666667	-8.23544833333333	295.6	Shaft 13 fence appears to be in good condition 
53	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/GI_Comments/FeatureServer/0/53/attachments/51?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYcgyIMux4F2iN9P_Hrgzegs_QFQ-m8Cw89S18T8guxUAlZi2cqLi4fLdgsks82yZ_EnkBs7onangEy5d9jwykBD8B_iH7qRstF46fV-AvlHlzueWQBanhan2Y1J6rs-zgh5bkRl7zCHdoqPdZAdNI_dWjkQi8deveCLy7tYPO-jeJXrqSgDhGOsW3FsJ-_Grs4PWZ7bOJ5B08DUWT5TdHfk.	52.793065	-8.23492166666667	19.99	drain.m inor flow
54	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/GI_Comments/FeatureServer/0/54/attachments/52?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYcgyIMux4F2iN9P_Hrgzegs_QFQ-m8Cw89S18T8guxUAlZi2cqLi4fLdgsks82yZ_EnkBs7onangEy5d9jwykBD8B_iH7qRstF46fV-AvlHlzueWQBanhan2Y1J6rs-zgh5bkRl7zCHdoqPdZAdNI_dWjkQi8deveCLy7tYPO-jeJXrqSgDhGOsW3FsJ-_Grs4PWZ7bOJ5B08DUWT5TdHfk.	52.7924233333333	-8.23696166666667	78.52	Shaft 11. o obvious issues
55	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/GI_Comments/FeatureServer/0/55/attachments/53?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYcgyIMux4F2iN9P_Hrgzegs_QFQ-m8Cw89S18T8guxUAlZi2cqLi4fLdgsks82yZ_EnkBs7onangEy5d9jwykBD8B_iH7qRstF46fV-AvlHlzueWQBanhan2Y1J6rs-zgh5bkRl7zCHdoqPdZAdNI_dWjkQi8deveCLy7tYPO-jeJXrqSgDhGOsW3FsJ-_Grs4PWZ7bOJ5B08DUWT5TdHfk.	52.7930366666667	-8.28865333333333	124.69	
58	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/GI_Comments/FeatureServer/0/58/attachments/56?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYcgyIMux4F2iN9P_Hrgzegs_QFQ-m8Cw89S18T8guxUAlZi2cqLi4fLdgsks82yZ_EnkBs7onangEy5d9jwykBD8B_iH7qRstF46fV-AvlHlzueWQBanhan2Y1J6rs-zgh5bkRl7zCHdoqPdZAdNI_dWjkQi8deveCLy7tYPO-jeJXrqSgDhGOsW3FsJ-_Grs4PWZ7bOJ5B08DUWT5TdHfk.	52.7933133333333	-8.28717166666667	39.39	Vegetation growth inside Cornish engine house - will need clearing periodically.
59	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/GI_Comments/FeatureServer/0/59/attachments/57?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYcgyIMux4F2iN9P_Hrgzegs_QFQ-m8Cw89S18T8guxUAlZi2cqLi4fLdgsks82yZ_EnkBs7onangEy5d9jwykBD8B_iH7qRstF46fV-AvlHlzueWQBanhan2Y1J6rs-zgh5bkRl7zCHdoqPdZAdNI_dWjkQi8deveCLy7tYPO-jeJXrqSgDhGOsW3FsJ-_Grs4PWZ7bOJ5B08DUWT5TdHfk.	52.7931433333333	-8.28767333333333	118.51	Cornish engine house, vegetation removal required on top of exposed stonework and at lower levels.
62	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/GI_Comments/FeatureServer/0/62/attachments/60?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYcgyIMux4F2iN9P_Hrgzegs_QFQ-m8Cw89S18T8guxUAlZi2cqLi4fLdgsks82yZ_EnkBs7onangEy5d9jwykBD8B_iH7qRstF46fV-AvlHlzueWQBanhan2Y1J6rs-zgh5bkRl7zCHdoqPdZAdNI_dWjkQi8deveCLy7tYPO-jeJXrqSgDhGOsW3FsJ-_Grs4PWZ7bOJ5B08DUWT5TdHfk.	52.7925316666667	-8.28738833333333	146.96	Fence in good condition 
63	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/GI_Comments/FeatureServer/0/63/attachments/61?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYcgyIMux4F2iN9P_Hrgzegs_QFQ-m8Cw89S18T8guxUAlZi2cqLi4fLdgsks82yZ_EnkBs7onangEy5d9jwykBD8B_iH7qRstF46fV-AvlHlzueWQBanhan2Y1J6rs-zgh5bkRl7zCHdoqPdZAdNI_dWjkQi8deveCLy7tYPO-jeJXrqSgDhGOsW3FsJ-_Grs4PWZ7bOJ5B08DUWT5TdHfk.	52.7924483333333	-8.28784833333333	227.58	General condition
64	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/GI_Comments/FeatureServer/0/64/attachments/62?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYcgyIMux4F2iN9P_Hrgzegs_QFQ-m8Cw89S18T8guxUAlZi2cqLi4fLdgsks82yZ_EnkBs7onangEy5d9jwykBD8B_iH7qRstF46fV-AvlHlzueWQBanhan2Y1J6rs-zgh5bkRl7zCHdoqPdZAdNI_dWjkQi8deveCLy7tYPO-jeJXrqSgDhGOsW3FsJ-_Grs4PWZ7bOJ5B08DUWT5TdHfk.	52.7922866666667	-8.28794166666667	136.7	Loose rock above portal
