ObjectID	URLs	OBJECTID	Comment	Conductivity	SampleNo	WaterLevel	Temp	BoreholeDepth	GeoComment	Site_Type	ESRIGNSS_POSITIONSOURCETYPE	ESRIGNSS_RECEIVER	ESRIGNSS_LATITUDE	ESRIGNSS_LONGITUDE	ESRIGNSS_ALTITUDE	ESRIGNSS_H_RMS	ESRIGNSS_V_RMS	ESRIGNSS_FIXDATETIME	ESRIGNSS_FIXTYPE	ESRIGNSS_CORRECTIONAGE	ESRIGNSS_STATIONID	ESRIGNSS_NUMSATS	ESRIGNSS_PDOP	ESRIGNSS_HDOP	ESRIGNSS_VDOP	ESRIGNSS_DIRECTION	ESRIGNSS_SPEED	ESRISNSR_AZIMUTH	ESRIGNSS_AVG_H_RMS	ESRIGNSS_AVG_V_RMS	ESRIGNSS_AVG_POSITIONS	ESRIGNSS_H_STDDEV	GlobalID	CreationDate	Creator	EditDate	Editor	Region_	Location_
4	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/4/attachments/2?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYduD06kSIoRNkCGIcNB5SGs0F5G0cK0Ukp6UUhmkjNX0-rwGeNL-n-YZi0IYT4J2tP0qECLFSVKNCRWp6bHKQ0XBz7RCsP3wQpZpbdL0EVRsdL2364wmYfLYD55hljTvdHSK4O0USNdxbjTh5CNoy-TtU2yNBzABzBWN7hq2s6UpA1wC7gB0asbwKzgu7AvSQfemv2u8Cpn7Hi9Yfpb129E.	4	Project by ministry of agriculture. Technical issues. Water does not stay in dam. Big flood damaged the dam as not constructed very well.							Other					570.1999999999999																								
6	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/6/attachments/6?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYduD06kSIoRNkCGIcNB5SGs0F5G0cK0Ukp6UUhmkjNX0-rwGeNL-n-YZi0IYT4J2tP0qECLFSVKNCRWp6bHKQ0XBz7RCsP3wQpZpbdL0EVRsdL2364wmYfLYD55hljTvdHSK4O0USNdxbjTh5CNoy-TtU2yNBzABzBWN7hq2s6UpA1wC7gB0asbwKzgu7AvSQfemv2u8Cpn7Hi9Yfpb129E.	6	Channel eroded through very friable orange rhyolite. Dyke running through the dam aligment, possibly the design assumed the dyke would prevent erosion around the sides of the structure. Project started in 2016 and finished in 2020.  The flows deposited the sediment behind the dam a few days before we came.  Also sediment deposited in 2020. When the dam failed in 2020 they sent letter to Ministry of Environment but nothing done to remediate the structure. No sediment behind the dam when it was first built.												567.5999999999999																								
8	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/8/attachments/14?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYduD06kSIoRNkCGIcNB5SGs0F5G0cK0Ukp6UUhmkjNX0-rwGeNL-n-YZi0IYT4J2tP0qECLFSVKNCRWp6bHKQ0XBz7RCsP3wQpZpbdL0EVRsdL2364wmYfLYD55hljTvdHSK4O0USNdxbjTh5CNoy-TtU2yNBzABzBWN7hq2s6UpA1wC7gB0asbwKzgu7AvSQfemv2u8Cpn7Hi9Yfpb129E.	8	Goat droppings in the wadi sediment.												571.5																								
11	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/11/attachments/21?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYduD06kSIoRNkCGIcNB5SGs0F5G0cK0Ukp6UUhmkjNX0-rwGeNL-n-YZi0IYT4J2tP0qECLFSVKNCRWp6bHKQ0XBz7RCsP3wQpZpbdL0EVRsdL2364wmYfLYD55hljTvdHSK4O0USNdxbjTh5CNoy-TtU2yNBzABzBWN7hq2s6UpA1wC7gB0asbwKzgu7AvSQfemv2u8Cpn7Hi9Yfpb129E.	11	Septic tank for the school teachers house.								2	Samsung SM-T220	11.252108333333334	42.79965	568.5999999999999	2.3970000000000002	3.055	1698920492000	1			26	0.8199999928474426	0.5199999809265137	0.6499999761581421	273.79	0.059263999999488004	230.45019008772402					cf030341-a2cd-4983-92fa-ec32a0de4f91	1698920528000	GWPConsultants	1711640583142	GWPConsultants	Ali Sabieh	Dasbyo
15	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/15/attachments/25?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYduD06kSIoRNkCGIcNB5SGs0F5G0cK0Ukp6UUhmkjNX0-rwGeNL-n-YZi0IYT4J2tP0qECLFSVKNCRWp6bHKQ0XBz7RCsP3wQpZpbdL0EVRsdL2364wmYfLYD55hljTvdHSK4O0USNdxbjTh5CNoy-TtU2yNBzABzBWN7hq2s6UpA1wC7gB0asbwKzgu7AvSQfemv2u8Cpn7Hi9Yfpb129E.	15	Transmission pipe within concrete manhole.								2	Samsung SM-T220	11.252194999999999	42.799665	570.1999999999999	2.303	2.867	1698920920000	1			28	0.7799999713897705	0.49000000953674316	0.6100000143051147	100.98	0	339.582469410304					ea776253-c6e9-49c2-b42c-de7a2b34268e	1698920940000	GWPConsultants	1711640584552	GWPConsultants	Ali Sabieh	Dasbyo
20	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/20/attachments/28?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYduD06kSIoRNkCGIcNB5SGs0F5G0cK0Ukp6UUhmkjNX0-rwGeNL-n-YZi0IYT4J2tP0qECLFSVKNCRWp6bHKQ0XBz7RCsP3wQpZpbdL0EVRsdL2364wmYfLYD55hljTvdHSK4O0USNdxbjTh5CNoy-TtU2yNBzABzBWN7hq2s6UpA1wC7gB0asbwKzgu7AvSQfemv2u8Cpn7Hi9Yfpb129E.	20	Shallow well. 2m wide. 1.2m upstand. 6067us/cm. 28.1 Celsius. wl 2.32mbtc. At 2.75mbtc 7088us/cm.  2.75mbtc deep.	6067		1.1200000047683716	28.100000381469727	1.5499999523162842		Well	2	Samsung SM-T220	11.251814999999999	42.79974166666666	565.6999999999999	2.209	2.914	1698923710000	2	0	0	29	0.7799999713897705	0.4699999988079071	0.6200000047683716	216.09	1.64827999998576	192.925895768861					9c0fcee2-2b25-4af6-b055-238cab57342b	1698924162000	GWPConsultants	1711640587118	GWPConsultants	Ali Sabieh	Dasbyo
34	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/34/attachments/72?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYduD06kSIoRNkCGIcNB5SGs0F5G0cK0Ukp6UUhmkjNX0-rwGeNL-n-YZi0IYT4J2tP0qECLFSVKNCRWp6bHKQ0XBz7RCsP3wQpZpbdL0EVRsdL2364wmYfLYD55hljTvdHSK4O0USNdxbjTh5CNoy-TtU2yNBzABzBWN7hq2s6UpA1wC7gB0asbwKzgu7AvSQfemv2u8Cpn7Hi9Yfpb129E.	34	Shallow well. 2.92m deep. 4791us/cm. 28.7 degrees. wl 2.22mbtc	4791		2.2200000286102295	2.700000047683716	2.9200000762939453		Well	2	Samsung SM-T220	11.285906666666666	42.92078333333333	422.29999999999995	2.491	3.1490000000000005	1698991722000	1			24	0.8500000238418579	0.5199999809265137	0.6700000166893005	244.39	0.251871999997824	153.17984655355394					2db9a42a-fa3e-4cc3-9b71-f7642ccfa2df	1698992047000	GWPConsultants	1711640591679	GWPConsultants	Ali Sabieh	Holhol / Hindi
37	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/37/attachments/78?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYduD06kSIoRNkCGIcNB5SGs0F5G0cK0Ukp6UUhmkjNX0-rwGeNL-n-YZi0IYT4J2tP0qECLFSVKNCRWp6bHKQ0XBz7RCsP3wQpZpbdL0EVRsdL2364wmYfLYD55hljTvdHSK4O0USNdxbjTh5CNoy-TtU2yNBzABzBWN7hq2s6UpA1wC7gB0asbwKzgu7AvSQfemv2u8Cpn7Hi9Yfpb129E.	37	View of Holhol.  The old train used to be used for bringing water. 1 borehole gives 20% of water.  half of that went to the military base.  this well is located near the refugee camp.  Shallow Wells unproductive after drought.  Study to create BH for new train construction.  outcome of this was BHs in hindi.								2	Samsung SM-T220	11.307201666666668	42.93446	418.2	2.303	3.196	1699001277000	1			23	0.8399999737739563	0.47999998927116394	0.6800000071525574	263.69	1.4130759999877922	278.0292468648978					68ef8245-dc53-4e05-98ce-83abe2463db7	1699001358000	GWPConsultants	1711640592919	GWPConsultants	Ali Sabieh	Holhol / Hindi
41	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/41/attachments/87?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYduD06kSIoRNkCGIcNB5SGs0F5G0cK0Ukp6UUhmkjNX0-rwGeNL-n-YZi0IYT4J2tP0qECLFSVKNCRWp6bHKQ0XBz7RCsP3wQpZpbdL0EVRsdL2364wmYfLYD55hljTvdHSK4O0USNdxbjTh5CNoy-TtU2yNBzABzBWN7hq2s6UpA1wC7gB0asbwKzgu7AvSQfemv2u8Cpn7Hi9Yfpb129E.	41	Well built at the same time as railway.  wl 2.26mbtc. 1030 us/cm. 28.4 Celsius. Approx. 0.1m of water in base of the well.	1030		2.259999990463257		2.359999895095825		Well	2	Samsung SM-T220	11.30593	42.92966500000001	393.2	2.068	2.9610000000000003	1699003929000	1			31	0.7699999809265137	0.4399999976158142	0.6299999952316284	193.71	3.341007999971136	170.7896041962208					afde5a6c-5e68-4e7f-b74a-e96462d5b107	1699004211000	GWPConsultants	1711640594289	GWPConsultants	Ali Sabieh	Holhol / Hindi
44	https://services7.arcgis.com/3E0r5qbeigNNEBVj/arcgis/rest/services/Djibouti_Field_Notes/FeatureServer/0/44/attachments/98?token=3NKHt6i2urmWtqOuugvr9ac-SEfp8hQjHX7hXMT65R0AkNRmaXz90U2_DWvSmB5Q_C3xCr7y4AXeUTi0JMhkYduD06kSIoRNkCGIcNB5SGs0F5G0cK0Ukp6UUhmkjNX0-rwGeNL-n-YZi0IYT4J2tP0qECLFSVKNCRWp6bHKQ0XBz7RCsP3wQpZpbdL0EVRsdL2364wmYfLYD55hljTvdHSK4O0USNdxbjTh5CNoy-TtU2yNBzABzBWN7hq2s6UpA1wC7gB0asbwKzgu7AvSQfemv2u8Cpn7Hi9Yfpb129E.	44	Reservoir. Metal incoming pipe. They know it's full when it overflows.  Two of the reservoirs at the BH is enough to fill this reservoir.  They phone for the pump to be turned off. It takes 3 hours to fill in winter and 5 hours in summer.  When the reservoir is empty there is an agent who controls opening the water to the different neighborhoods. One of the neighborhoods is 250 households and the other is 350 households.  Filled every day.  Each day water supplied to a different neighborhood.  The pump has an automatic shut off. Built in 1995.  Two water supply parts of village alternate daily.  approx 70m3 tank.  paced 20m 22 degrees angle. Circumference 21m. 450 houses have pipes to their houses. 150 not connected.   Big pipes about 60cm under surface when installed.  every 20m small pipes come off big pipes. if someone wants their own connection they request from the prefecture and pay.  Built by Ministry of Agriculture Hydraulic Division.  Water is free.  Ministry of Agriculture responsible for maintainance.  							Tank/Reservoir	2	Samsung SM-T220	11.311508333333332	42.92408166666667	432.2	4.371	4.136	1699006215000	1			12	1.2799999713897705	0.8100000023841858	0.8799999952316284	8.09	1.298251999988784	132.8984740774148					cb841512-46e4-4e41-985b-23dad5454071	1699006910000	GWPConsultants	1711640595450	GWPConsultants	Ali Sabieh	Holhol / Hindi
